P_40K	P_4K	T_40K	T_4K 
0.00	0.00	23.70	2.55
0.00	0.22	23.90	2.77
0.00	0.43	24.16	2.86
0.00	0.64	24.10	3.07
0.00	0.85	24.24	3.31
0.00	1.05	24.35	3.52
0.00	1.26	24.53	3.71
0.00	1.46	24.68	3.89
0.00	1.66	24.81	4.09
0.00	1.87	24.84	4.26
0.00	2.07	25.60	4.37
6.08	0.00	24.59	2.61
6.08	0.22	24.81	2.78
6.08	0.43	24.94	2.88
6.08	0.64	25.10	3.12
6.08	0.84	25.24	3.35
6.08	1.04	25.39	3.55
6.08	1.25	25.52	3.73
6.08	1.45	25.63	3.91
6.08	1.66	25.76	4.11
6.08	1.86	25.93	4.28
6.08	2.06	26.01	4.41
12.25	0.00	25.72	2.70
12.25	0.22	25.89	2.82
12.25	0.43	26.02	2.95
12.25	0.64	26.50	3.17
12.25	0.84	26.28	3.41
12.25	1.05	26.46	3.60
12.25	1.25	26.64	3.80
12.25	1.46	26.95	3.93
12.25	1.67	26.90	4.12
12.25	1.88	27.13	4.29
12.25	2.08	27.29	4.41
18.46	0.00	26.94	2.78
18.46	0.22	27.12	2.85
18.46	0.43	27.23	3.04
18.46	0.64	27.44	3.25
18.46	0.85	27.74	3.46
18.46	1.06	27.81	3.62
18.46	1.26	27.98	3.79
18.46	1.47	28.16	3.97
18.46	1.67	28.26	4.12
18.46	1.87	28.36	4.31
18.46	2.08	28.49	4.46
24.67	0.00	28.18	2.80
24.67	0.22	28.36	2.88
24.67	0.43	28.49	3.11
24.67	0.64	28.65	3.31
24.67	0.84	28.85	3.50
24.67	1.04	29.02	3.67
24.67	1.25	29.15	3.84
24.67	1.46	29.37	4.00
24.67	1.66	29.49	4.19
24.67	1.86	29.62	4.34
24.67	2.06	29.87	4.46
30.90	0.00	29.51	2.83
30.90	0.22	29.71	2.97
30.90	0.43	29.81	3.19
30.90	0.64	30.01	3.38
30.90	0.84	30.18	3.57
30.90	1.04	30.40	3.73
30.90	1.25	30.53	3.91
30.90	1.46	30.73	4.04
30.90	1.66	30.92	4.23
30.90	1.87	31.03	4.38
30.90	2.07	31.26	4.50
37.16	0.00	31.02	2.88
37.16	0.22	31.21	3.09
37.16	0.43	31.38	3.28
37.16	0.64	31.52	3.47
37.16	0.84	31.73	3.63
37.16	1.05	31.91	3.80
37.16	1.25	32.08	3.95
37.16	1.46	32.26	4.11
37.16	1.66	32.40	4.27
37.16	1.86	32.58	4.41
37.16	2.07	32.77	4.52
43.43	0.00	32.62	3.02
43.43	0.22	32.78	3.21
43.43	0.43	33.01	3.40
43.43	0.64	33.20	3.58
43.43	0.84	33.37	3.72
43.43	1.04	33.50	3.90
43.43	1.25	33.73	4.04
43.43	1.45	33.86	4.18
43.43	1.66	34.01	4.35
43.43	1.86	34.23	4.46
43.43	2.06	34.44	4.59
48.63	0.00	34.08	3.15
48.63	0.24	34.22	3.34
48.63	0.45	34.49	3.50
48.63	0.67	34.83	3.65
48.63	0.88	35.00	3.80
48.63	1.09	35.23	3.95
48.63	1.30	35.39	4.09
48.63	1.51	35.58	4.23
48.63	1.71	35.69	4.40
48.63	1.92	35.91	4.53
48.63	2.13	36.25	4.62
