P_40K	P_4K	T_40K	T_4K
0.00	0.00	25.91	2.75
0.00	0.22	25.94	2.84
0.00	0.43	26.05	2.95
0.00	0.64	26.14	3.13
0.00	0.84	26.26	3.31
0.00	1.05	26.36	3.47
0.00	1.25	26.47	3.62
0.00	1.46	26.61	3.77
0.00	1.66	26.72	3.90
0.00	1.87	26.84	4.07
0.00	2.07	26.94	4.20
6.09	0.00	26.85	2.80
6.09	0.22	26.96	2.87
6.09	0.43	27.07	3.03
6.09	0.64	27.23	3.21
6.09	0.84	27.40	3.37
6.09	1.05	27.50	3.52
6.09	1.25	27.66	3.66
6.09	1.46	27.79	3.81
6.09	1.66	27.93	3.93
6.09	1.87	28.09	4.10
6.09	2.07	28.19	4.24
12.26	0.00	28.10	2.83
12.26	0.22	28.24	2.93
12.26	0.43	28.40	3.11
12.26	0.64	28.48	3.29
12.26	0.85	28.61	3.45
12.26	1.05	28.72	3.60
12.26	1.26	28.87	3.73
12.26	1.47	29.05	3.86
12.26	1.67	29.23	3.99
12.26	1.88	29.32	4.16
12.26	2.08	29.47	4.27
18.47	0.00	29.34	2.90
18.47	0.22	29.49	3.07
18.47	0.43	29.64	3.23
18.47	0.64	29.84	3.38
18.47	0.85	30.08	3.52
18.47	1.05	30.22	3.65
18.47	1.26	30.32	3.79
18.47	1.46	30.53	3.92
18.47	1.67	30.72	4.04
18.47	1.87	30.86	4.21
18.47	2.07	30.99	4.33
24.69	0.00	30.87	3.03
24.69	0.22	31.04	3.19
24.69	0.43	31.20	3.33
24.69	0.64	31.38	3.48
24.69	0.84	31.57	3.61
24.69	1.05	31.71	3.74
24.69	1.25	31.90	3.87
24.69	1.46	32.13	3.99
24.69	1.66	32.29	4.12
24.69	1.86	32.49	4.25
24.69	2.07	32.68	4.39
30.93	0.00	32.58	3.15
30.93	0.22	32.76	3.32
30.93	0.43	32.93	3.45
30.93	0.64	33.13	3.59
30.93	0.84	33.31	3.72
30.93	1.04	33.49	3.84
30.93	1.25	33.73	3.95
30.93	1.46	33.93	4.07
30.93	1.66	34.05	4.21
30.93	1.86	34.25	4.31
30.93	2.06	34.44	4.41
37.18	0.00	34.36	3.29
37.18	0.22	34.55	3.45
37.18	0.43	34.74	3.58
37.18	0.63	34.94	3.70
37.18	0.84	35.09	3.81
37.18	1.04	35.31	3.92
37.18	1.25	35.51	4.03
37.18	1.45	35.72	4.17
37.18	1.65	35.95	4.29
37.18	1.86	36.20	4.39
37.18	2.06	36.36	4.48
43.46	0.00	36.30	3.47
43.46	0.22	36.51	3.59
43.46	0.43	36.80	3.70
43.46	0.63	36.95	3.80
43.46	0.84	37.16	3.92
43.46	1.04	37.46	4.02
43.46	1.25	37.61	4.14
43.46	1.45	37.84	4.26
43.46	1.66	38.10	4.36
43.46	1.87	38.45	4.47
43.46	2.07	38.60	4.56
48.62	0.00	38.29	3.59
48.62	0.24	38.61	3.70
48.62	0.46	38.72	3.82
48.62	0.67	38.97	3.92
48.62	0.88	39.19	4.02
48.62	1.09	39.42	4.11
48.62	1.30	39.59	4.25
48.62	1.51	39.78	4.37
48.62	1.71	40.00	4.44
48.62	1.92	40.28	4.53
48.62	2.13	40.51	4.61
